Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID
T006180,2023-09-18,08:21 PM,S003,P00286,2,44991.87,89983.74,10063.04,Cash,C00248
T007746,2023-08-14,01:37 PM,S004,P00302,4,6203.48,24813.92,6446.06,Mobile Payment,C00637
T00695,2022-02-25,05:19 PM,S008,P00277,4,46144.8,184579.2,46289.59,Cash,C00454
T006640,2022-06-29,02:37 PM,S002,P00359,4,62200.06,248800.24,40917.64,Mobile Payment,C00279
T003841,2022-02-02,12:10 PM,S003,P00308,3,35021.56,105064.68,12614.74,Cash,C00430
T002741,2023-05-28,09:19 PM,S007,P00338,2,18883.93,37767.86,8986.97,Mobile Payment,C00113
T008435,2022-09-20,07:51 PM,S006,P00378,4,79113.81,316455.24,91640.97,Cash,C00305
T004943,2020-12-17,06:13 PM,S008,P00148,5,15287.17,76435.85,898.74,Mobile Payment,C00427
T002969,2023-11-02,09:54 PM,S002,P00206,3,36863.24,110589.72,8095.96,Credit Card,C00628
T001736,2021-08-23,02:16 PM,S005,P00271,4,87424.31,349697.24,49917.47,Credit Card,C00493
T00829,2023-06-03,09:11 PM,S002,P00279,1,38489.02,38489.02,6225.42,Cash,C00287
T001072,2020-02-07,06:46 PM,S002,P0085,3,65657.8,196973.4,41057.37,Mobile Payment,C00369
T007632,2024-04-10,10:42 AM,S005,P00164,4,20734.57,82938.28,730.19,Debit Card,C00520
T006809,2023-12-30,04:25 PM,S001,P00115,4,5474.29,21897.16,3617.55,Cash,C0092
T007971,2021-09-16,01:30 PM,S003,P00237,1,84076.03,84076.03,18534.5,Mobile Payment,C00104
T001995,2024-04-05,10:09 AM,S001,P00162,5,40163.27,200816.35,20271.95,Debit Card,C00536
T004435,2020-04-11,02:04 PM,S005,P00121,5,97025.16,485125.8,41286.89,Debit Card,C00532
T004359,2020-04-26,06:27 PM,S007,P0096,3,94946.85,284840.55,54036.98,Mobile Payment,C003
T002807,2022-07-14,06:43 PM,S006,P00343,5,65207.01,326035.05,68293.63,Mobile Payment,C00621
T006036,2022-04-14,03:10 PM,S008,P0033,3,83211.84,249635.52,21469.27,Mobile Payment,C00145
T007553,2022-09-11,09:52 PM,S003,P00355,2,51557.02,103114.04,30657.88,Credit Card,C00486
T003101,2022-04-20,05:42 PM,S008,P0019,5,1676.39,8381.95,1080.52,Mobile Payment,C00225
T004993,2022-11-27,04:42 PM,S005,P00348,2,37962.12,75924.24,12045.92,Debit Card,C00125
T006829,2022-12-30,08:46 PM,S007,P00197,5,37422.06,187110.3,21716.38,Debit Card,C00496
T001443,2020-03-13,07:14 PM,S008,P00252,5,86639.33,433196.65,67849.01,Credit Card,C00588
T003602,2021-09-06,11:34 AM,S005,P00284,4,26142.42,104569.68,28619.17,Cash,C00218
T001665,2023-05-09,06:15 PM,S003,P00174,5,34382.96,171914.8,5028.93,Mobile Payment,C00249
T008870,2023-01-16,09:23 PM,S002,P00212,5,49097.21,245486.05,51698.0,Debit Card,C00300
T002682,2023-12-23,10:55 AM,S003,P0040,5,71497.83,357489.15,7121.1,Debit Card,C00615
T008312,2022-07-15,04:12 PM,S001,P0054,5,55493.93,277469.65,73955.29,Debit Card,C00566
T00515,2022-06-28,09:11 PM,S003,P0023,4,51035.62,204142.48,8901.53,Cash,C00236
T003740,2020-08-14,02:52 PM,S001,P00245,3,61691.39,185074.17,53117.65,Mobile Payment,C00326
T005120,2020-02-20,08:11 PM,S002,P00182,1,10344.41,10344.41,2802.36,Cash,C00521
T005381,2024-04-19,03:46 PM,S003,P00123,5,90279.51,451397.55,45748.54,Mobile Payment,C00584
T004203,2022-10-25,10:24 AM,S004,P00324,3,63951.82,191855.46,44224.33,Debit Card,C0069
T006952,2022-06-20,11:31 AM,S007,P00324,3,91894.31,275682.93,19189.28,Mobile Payment,C00341
T003041,2024-05-12,12:02 PM,S007,P00226,5,26081.94,130409.7,666.57,Debit Card,C00359
T004821,2020-07-26,09:35 PM,S001,P00117,5,24794.55,123972.75,7575.04,Cash,C0048
T004174,2020-02-22,05:14 PM,S004,P00148,4,17528.74,70114.96,7459.98,Debit Card,C00164
T007807,2021-05-06,06:45 PM,S005,P00113,3,51974.38,155923.14,39114.4,Credit Card,C00404
T006871,2021-02-14,01:57 PM,S007,P00282,1,26021.17,26021.17,5955.59,Credit Card,C00392
T002889,2024-03-15,04:29 PM,S004,P00371,5,79210.01,396050.05,105191.54,Credit Card,C00653
T006892,2021-01-25,06:41 PM,S004,P0032,2,83655.64,167311.28,3782.28,Mobile Payment,C00672
T001339,2020-05-26,10:12 AM,S004,P00372,3,2071.32,6213.96,1517.9,Debit Card,C00161
T008054,2023-10-20,11:10 AM,S007,P00332,2,11053.3,22106.6,4398.07,Mobile Payment,C00126
T006412,2020-01-16,09:32 PM,S004,P00334,3,66774.55,200323.65,18879.1,Debit Card,C00353
T002460,2020-09-09,10:24 AM,S001,P00141,3,59301.61,177904.83,143.41,Credit Card,C00280
T005318,2021-01-24,01:05 PM,S006,P0067,5,61240.23,306201.15,40461.34,Debit Card,C00267
T00458,2020-12-02,02:25 PM,S003,P00140,3,83518.92,250556.76,13163.37,Mobile Payment,C0041
T006194,2022-03-18,10:50 AM,S003,P004,3,95297.74,285893.22,8707.15,Cash,C0028
T001335,2020-03-17,12:34 PM,S002,P00130,5,88510.02,442550.1,68044.61,Credit Card,C00458
T001893,2020-02-23,07:15 PM,S007,P00119,1,36750.23,36750.23,10065.56,Credit Card,C0078
T001944,2022-12-04,05:10 PM,S007,P0047,2,58956.47,117912.94,27177.68,Cash,C00630
T006060,2020-09-08,01:50 PM,S007,P00331,1,66751.51,66751.51,14338.2,Credit Card,C00194
T003620,2023-09-07,01:29 PM,S002,P0074,5,66533.52,332667.6,84607.53,Cash,C00152
T005637,2024-06-24,06:56 PM,S006,P00322,3,64173.02,192519.06,16205.15,Credit Card,C00591
T00714,2023-06-28,05:42 PM,S001,P00130,3,95939.51,287818.53,31404.55,Credit Card,C00507
T003791,2024-02-26,04:42 PM,S001,P00248,2,77183.18,154366.36,38103.84,Credit Card,C0057
T008211,2021-08-07,02:57 PM,S006,P0040,3,75546.57,226639.71,12339.44,Credit Card,C00496
T00358,2023-07-06,10:10 AM,S006,P0052,4,88278.18,353112.72,83249.83,Credit Card,C00343
T0076,2023-01-23,11:19 AM,S005,P00285,1,64394.0,64394.0,7493.13,Debit Card,C00340
T006194,2020-09-08,10:22 AM,S005,P00322,4,58805.44,235221.76,58270.84,Mobile Payment,C00633
T007120,2020-11-27,08:39 PM,S006,P00232,5,30343.96,151719.8,15685.0,Credit Card,C00561
T0081,2021-12-24,01:05 PM,S006,P00246,2,80563.2,161126.4,11814.27,Credit Card,C00347
T002061,2021-02-13,03:55 PM,S007,P00288,4,30623.06,122492.24,31632.51,Mobile Payment,C00201
T008481,2020-12-23,03:40 PM,S008,P00323,5,27045.25,135226.25,16384.27,Credit Card,C00583
T003449,2020-09-28,12:04 PM,S007,P0092,2,6559.21,13118.42,3785.73,Mobile Payment,C00615
T007894,2020-05-01,05:46 PM,S005,P00249,2,92902.93,185805.86,26084.76,Mobile Payment,C00298
T003136,2020-04-10,09:00 PM,S003,P005,4,95600.7,382402.8,7338.26,Credit Card,C00458
T005996,2021-06-12,09:44 PM,S008,P00369,4,11852.28,47409.12,5684.66,Mobile Payment,C00472
T001363,2023-03-12,08:32 PM,S004,P00208,2,63946.47,127892.94,17905.93,Mobile Payment,C0084
T006079,2020-03-20,05:55 PM,S002,P00208,5,48161.22,240806.1,29066.34,Debit Card,C00392
T004429,2020-09-14,10:16 AM,S004,P00248,1,31280.61,31280.61,6399.16,Cash,C00618
T00736,2022-07-25,11:46 AM,S007,P0063,3,78078.39,234235.17,12557.07,Debit Card,C00118
T007700,2024-05-08,09:45 PM,S007,P0055,1,73905.69,73905.69,19932.21,Credit Card,C00316
T00976,2021-05-03,05:48 PM,S003,P0028,5,99914.87,499574.35,42206.68,Debit Card,C00314
T004281,2020-05-11,06:13 PM,S008,P00143,2,40295.21,80590.42,1285.09,Cash,C00356
T00835,2024-02-28,06:33 PM,S003,P0027,3,47619.09,142857.27,31969.27,Debit Card,C0099
T005846,2022-09-05,07:14 PM,S003,P00306,3,70004.35,210013.05,26027.79,Cash,C00491
T008692,2024-01-20,12:23 PM,S006,P00147,4,5833.47,23333.88,4936.87,Debit Card,C00276
T004412,2020-04-27,06:55 PM,S002,P0079,4,68588.54,274354.16,79376.02,Credit Card,C00558
T00551,2020-02-19,09:32 PM,S007,P00188,5,27531.56,137657.8,32310.11,Mobile Payment,C00600
T008075,2020-08-02,01:24 PM,S004,P00351,2,81644.43,163288.86,27185.77,Credit Card,C00251
T002612,2023-11-13,10:24 AM,S002,P00233,2,63108.53,126217.06,21469.58,Credit Card,C00254
T007898,2022-04-23,09:32 PM,S002,P0094,5,95640.64,478203.2,31616.36,Credit Card,C00121
T001003,2021-03-11,06:40 PM,S007,P00340,5,18204.41,91022.05,13285.96,Debit Card,C00658
T006673,2021-10-21,09:08 PM,S002,P00154,4,14224.91,56899.64,9419.63,Mobile Payment,C00579
T001004,2022-10-09,07:55 PM,S005,P00116,4,36325.0,145300.0,37418.34,Debit Card,C00237
T002855,2023-09-28,10:00 AM,S004,P00208,2,4307.2,8614.4,66.78,Credit Card,C0082
T001286,2023-08-26,05:30 PM,S007,P00313,5,40411.25,202056.25,24507.84,Debit Card,C00267
T001077,2023-08-01,03:46 PM,S001,P0070,3,85341.58,256024.74,71101.38,Credit Card,C00521
T004729,2020-08-18,07:39 PM,S004,P0093,1,37578.97,37578.97,4350.46,Cash,C00270
T004380,2024-07-08,04:54 PM,S004,P00267,3,52349.24,157047.72,15725.81,Debit Card,C00667
T00209,2023-12-04,06:58 PM,S008,P0026,4,73795.05,295180.2,4519.41,Cash,C00318
T007921,2023-04-20,03:02 PM,S005,P00163,3,73658.12,220974.36,63453.67,Debit Card,C00321
T004251,2022-02-25,02:54 PM,S001,P00331,3,43920.0,131760.0,22175.01,Cash,C00626
T007561,2022-03-08,01:39 PM,S007,P00281,1,27212.46,27212.46,3519.68,Credit Card,C00442
T002512,2023-11-14,05:10 PM,S002,P00169,5,86160.71,430803.55,63834.07,Credit Card,C00181
T004858,2024-04-16,02:17 PM,S008,P00305,4,90572.36,362289.44,99315.3,Mobile Payment,C002
T006695,2022-02-28,07:15 PM,S002,P00283,2,32321.36,64642.72,11327.01,Debit Card,C00167
T002922,2023-07-18,03:40 PM,S007,P0050,4,72925.97,291703.88,3957.78,Debit Card,C0082
T004616,2023-04-16,09:26 PM,S004,P00324,3,76264.24,228792.72,4933.24,Debit Card,C00437
T001398,2022-04-02,02:35 PM,S007,P0028,2,82551.58,165103.16,20204.85,Debit Card,C00403
T00815,2024-04-08,01:50 PM,S005,P00248,4,94265.55,377062.2,46604.27,Mobile Payment,C00516
T003695,2020-11-24,06:58 PM,S003,P00103,2,95764.24,191528.48,52955.87,Cash,C00517
T008608,2023-06-11,09:55 PM,S002,P00326,5,58283.78,291418.9,14769.59,Mobile Payment,C00595
T003092,2021-06-06,07:03 PM,S005,P00214,2,48689.26,97378.52,6827.33,Cash,C00296
T007129,2021-05-16,09:43 PM,S004,P00369,5,29263.51,146317.55,32738.43,Mobile Payment,C00307
T007620,2020-11-08,11:17 AM,S008,P00195,4,30810.15,123240.6,23449.77,Cash,C00674
T00874,2021-09-15,01:11 PM,S003,P00357,2,60148.34,120296.68,19175.99,Credit Card,C0036
T002958,2022-09-24,04:49 PM,S008,P00120,3,94609.33,283827.99,28054.04,Mobile Payment,C00268
T005703,2021-02-04,06:47 PM,S002,P00196,3,70008.36,210025.08,6360.35,Cash,C00523
T002554,2024-04-21,04:06 PM,S008,P00313,4,49488.98,197955.92,1056.64,Cash,C00162
T007035,2020-09-24,11:56 AM,S008,P00263,2,35139.74,70279.48,11404.45,Credit Card,C00616
T007148,2021-03-24,12:38 PM,S003,P00369,2,16077.46,32154.92,1366.74,Mobile Payment,C00105
T007853,2024-01-09,04:13 PM,S006,P00187,5,80976.2,404881.0,5338.85,Cash,C00152
T00850,2023-10-21,02:09 PM,S004,P00373,3,26432.64,79297.92,17590.55,Debit Card,C00329
T001395,2022-04-17,01:34 PM,S005,P00200,3,3316.97,9950.91,2282.65,Debit Card,C00646
T001101,2020-09-13,01:01 PM,S005,P00376,1,68140.88,68140.88,3247.45,Credit Card,C00352
T007371,2023-01-11,07:21 PM,S002,P0083,3,70731.01,212193.03,56129.09,Credit Card,C00509
T006351,2021-07-04,11:43 AM,S008,P0042,1,21696.99,21696.99,5429.6,Cash,C00202
T002006,2021-10-18,01:09 PM,S004,P00129,2,3411.07,6822.14,1222.74,Mobile Payment,C00245
T007348,2021-05-22,11:47 AM,S001,P00339,1,20726.54,20726.54,210.46,Mobile Payment,C00547
T005956,2023-03-11,03:48 PM,S002,P00313,2,31022.57,62045.14,13094.62,Mobile Payment,C00465
T005727,2023-08-21,04:43 PM,S008,P00207,2,89633.72,179267.44,19794.5,Mobile Payment,C00414
T001465,2023-08-16,03:28 PM,S004,P0076,4,89475.13,357900.52,90101.67,Credit Card,C00569
T00342,2022-11-09,05:15 PM,S005,P00289,3,79543.69,238631.07,8682.39,Credit Card,C00379
T002325,2024-04-13,05:41 PM,S008,P0033,2,37167.88,74335.76,20839.3,Credit Card,C00594
T007265,2023-06-13,07:20 PM,S008,P00287,3,98885.14,296655.42,86731.16,Credit Card,C00182
T005629,2021-12-20,07:07 PM,S006,P0068,1,69421.93,69421.93,17553.51,Mobile Payment,C0080
T002838,2021-08-14,06:17 PM,S004,P00217,2,62083.86,124167.72,27191.38,Debit Card,C00670
T004997,2022-12-13,11:00 AM,S005,P00103,3,35325.26,105975.78,26246.44,Debit Card,C00538
T008930,2021-08-13,06:03 PM,S007,P009,5,61527.87,307639.35,11191.07,Credit Card,C00268
T006669,2022-03-04,07:29 PM,S004,P00243,1,90482.37,90482.37,14435.69,Credit Card,C00256
T007077,2024-04-03,04:25 PM,S006,P00301,4,71160.93,284643.72,24856.84,Debit Card,C00533
T002202,2022-05-01,10:48 AM,S003,P005,5,50320.18,251600.9,32081.39,Mobile Payment,C00642
T002526,2022-05-19,11:59 AM,S006,P00308,3,20113.72,60341.16,7762.09,Debit Card,C00125
T002284,2023-03-04,11:40 AM,S002,P0029,3,75849.61,227548.83,6861.45,Cash,C00480
T006868,2020-02-07,05:30 PM,S006,P00372,1,89965.57,89965.57,4384.16,Credit Card,C00563
T002696,2024-06-13,12:06 PM,S001,P0057,4,76021.28,304085.12,38463.3,Credit Card,C00168
T008779,2022-03-02,08:07 PM,S006,P0030,2,60142.59,120285.18,2217.01,Credit Card,C00106
T002656,2023-02-26,07:58 PM,S001,P0023,1,97241.05,97241.05,504.55,Mobile Payment,C00259
T005101,2021-12-08,01:09 PM,S003,P00363,5,52558.52,262792.6,15604.55,Credit Card,C00100
T008668,2022-04-16,11:11 AM,S001,P008,5,92108.46,460542.3,11257.92,Debit Card,C00444
T006559,2020-08-16,04:36 PM,S003,P0075,2,56164.06,112328.12,645.2,Credit Card,C00292
T003265,2023-08-30,06:47 PM,S003,P00191,3,47324.03,141972.09,5855.43,Debit Card,C00539
T006175,2020-04-15,02:43 PM,S003,P00368,3,87243.44,261730.32,10065.49,Credit Card,C00357
T0032,2022-01-09,10:48 AM,S001,P00356,2,14744.13,29488.26,2886.43,Debit Card,C00421
T001471,2023-01-18,03:48 PM,S001,P0059,3,98194.54,294583.62,36672.0,Mobile Payment,C00507
T001847,2021-12-10,09:31 PM,S004,P00340,1,73145.65,73145.65,1011.56,Cash,C00630
T003355,2020-10-01,06:53 PM,S003,P00305,3,45410.1,136230.3,31252.7,Cash,C00135
T008810,2023-06-20,07:11 PM,S007,P00321,1,83461.7,83461.7,10141.86,Credit Card,C00117
T001386,2023-07-10,06:20 PM,S004,P00111,2,82588.77,165177.54,25285.45,Cash,C00630
T006245,2023-11-06,05:03 PM,S008,P00337,5,32638.7,163193.5,6840.78,Credit Card,C00463
T005772,2023-07-09,09:14 PM,S003,P0081,2,67907.15,135814.3,7366.49,Mobile Payment,C00643
T005103,2023-03-03,10:00 AM,S005,P00284,1,68145.32,68145.32,17553.35,Mobile Payment,C00216
T00277,2023-05-15,04:59 PM,S006,P00105,2,59269.09,118538.18,20585.86,Mobile Payment,C00632
T004837,2023-07-07,11:02 AM,S008,P0049,5,21788.06,108940.3,13160.44,Credit Card,C00509
T008728,2022-07-31,11:29 AM,S007,P0041,1,11341.55,11341.55,1406.44,Mobile Payment,C0053
T004206,2020-11-28,10:34 AM,S004,P00192,5,14584.5,72922.5,21240.22,Mobile Payment,C00420
T004279,2024-06-21,06:10 PM,S006,P00253,3,78866.87,236600.61,52095.94,Mobile Payment,C0046
T004176,2024-01-01,07:46 PM,S007,P00372,1,76690.62,76690.62,17195.82,Cash,C0052
T001619,2023-06-11,08:50 PM,S008,P00262,5,14852.4,74262.0,4275.58,Cash,C00291
T006403,2022-07-01,02:20 PM,S006,P0064,4,68697.93,274791.72,47066.71,Mobile Payment,C00605
T008201,2020-08-20,03:22 PM,S008,P0013,2,46854.12,93708.24,4303.56,Credit Card,C0039
T002086,2020-07-27,07:31 PM,S004,P0036,2,45908.63,91817.26,24792.79,Debit Card,C00653
T003344,2023-01-05,04:49 PM,S008,P0068,3,62201.08,186603.24,38263.4,Credit Card,C00469
T006480,2021-05-07,02:03 PM,S003,P00330,2,97660.76,195321.52,50714.31,Credit Card,C0047
T003842,2023-12-01,11:46 AM,S002,P00187,3,80584.42,241753.26,52101.57,Cash,C00336
T001126,2022-04-03,06:21 PM,S007,P00309,4,10680.57,42722.28,9391.12,Mobile Payment,C00465
T005255,2020-10-31,07:16 PM,S004,P0047,4,57705.24,230820.96,22269.87,Mobile Payment,C00417
T008557,2020-09-06,09:38 PM,S007,P0075,3,96900.41,290701.23,9214.64,Cash,C00578
T006558,2020-10-24,04:13 PM,S005,P0055,2,55184.07,110368.14,19309.91,Cash,C00272
